ITEM CODE,PARTICULARS,SIZE,Weight
CKBR0483,SITTING GANESH (RED),9", 2.48 
CKBR0484,SIVALINGAM WITH SNAKE (RED),6", 1.29 
CKBR0485,BUDDHA SITTING (BROWN),10.5", 3 
CKBR0492,MOSIKAN GANESH (RED),5.5", 1.26 
CKBR0495,T.NATARAJA,7.5", 1.2 
CKBR0497,GANESHA ARCH (RED),4.5", 0.78 
CKBR0498,GANESHA ,3.5", 0.62 
CKBR0501,SANGU GANESHA ,4.5", 1 
CKBR0502,MODERN ELEPHANT (RED),6", 1.9 
CKBR0503,STANDING BUDDHA,8", 0.76 
CKBR0504,KING GANESHA,6.5", 0.84 
CKBR0505,DANCING GANESH (RED),6.5", 1.66 
CKBR0506,SITTING KRISHNA,8", 1.76 
CKBR0509,LAKSHMI (RED),6", 1.14 
CKBR0510,PUPPY GANESHA (RED),4.5", 1.3 
CKBR0512,MODERN FLOWER POT,7", 1.8 
CKBR0513,MONA LISA WITH WOODEN BASE,16", 9.8 
CKBR0516,T.NATARAJA,19", 8.04 
CKBR0517,MODERN GANESHA (S.W),16", 10.86 
CKBR0518,LAKSHMI,18", 11.84 
CKBR0523,LAKSHMI SITTING (RED),8", 2.26 
CKBR0524,ELEPHANT ON WHEELS (RED),4.5", 1.06 
CKBR0526,DUCK (RED),10", 2.24 
CKBR0527,STAND WITH LAMP,6", 1.32 
CKBR0530,K.GANESHA (RED),9", 1.18 
CKBR0531,SIVALINGAM WITH SNAKE,6", 1.24 
CKBR0532,LAKSHMI (RED),7", 1.32 
CKBR0536,MODERN GANESHA ,6", 4.4 
CKBR0538,GAYATHRI AMMAN (RED),9", 4.7 
CKBR0540,SITTING BUDDHA ,20", 12.76 
CKBR0542,SARASWATHI SITTING,18", 12.48 
CKBR0543,GANESH BELL WALL HANGING,11", 1.26 
CKBR0548,NATARAJA (S.W),8", 1.1 
CKBR0549,SITTING BUDDHA,7.5", 1.2 
CKBR0553,GANESHA ON SIMMASANAM,6.5", 1.4 
CKBR0554,LAKSHMI IN HAND,9", 2.26 
CKBR0557,BUDDHA HEAD,8", 2.22 
CKBR0559,BUDDHA IN HAND (BROWN),9", 2.1 
CKBR0560,SARASWATHI ON ANNAM (RED),6", 1.62 
CKBR0561,BUTTER KRISHNA (RED),7", 2.04 
CKBR0562,WRITING GANESHA,6.5", 1.68 
CKBR0567,LAKSHMI (RED),8", 1.9 
CKBR0568,ELEPHANT GANESHA (RED),4.5", 1.56 
CKBR0569,ELEPHANT WITH MAN (RED),9", 1.4 
CKBR0572,D. SHIVA & PARVATHI FRAME,8", 2.86 
CKBR0573,STANDING BUDDHA,8", 0.76 
CKBR0574,NATARAJA (S.W),9", 1.67 
CKBR0575,BUDDHA ,8.5", 2.6 
CKBR0577,BUDDHA BUST,7.5", 1.54 
CKBR0578,LAKSHMI ARCH (RED),9.5", 3.1 
CKBR0579,DANCING KISSING COUPLE,12", 5 
CKBR0582,NATARAJA (RED),13.5", 4 
CKBR0583,SARASWATHI ON LOTUS (S.W),11", 7.18 
CKBR0585,SHIVAN,5.5", 1.24 
CKBR0587,ARTHANARI,8.5", 1 
CKBR0588,SHIVAN,4.5", 0.54 
CKBR0590,PEACOCK 5 FACE LAMP,8.5", 1.04 
CKBR0591,MODERN GANESHA WRITING,11", 3.7 
CKBR0594,RANGANATHAR ,6", 1.5 
CKBR0595,HAND (RED),6.5", 1.32 
CKBR0596,SAYANA GANESHA,5", 1.2 
CKBR0600,STANDING LAKSHMI,3.5", 0.14 
CKBR0603,KRISHNA ,17", 7.6 
CKBR0604,RADHA ,17.5", 8.81 
CKBR0605,ELEPHANT WITH GANESH & MURUGAN,7.5", 2.88 
CKBR0607,SITTING SHIVAN,9.5", 2.88 
CKBR0608,LEAF GANESHA,5", 0.28 
CKBR0609,STAR GANESHA (RED),7", 0.62 
CKBR0610,VEERA GANESHA ,9", 2.7 
CKBR0613,SHIVAN & PARVATI,8", 2.74 
CKBR0614,ELEPHANT,3", 0.72 
CKBR0615,DIYA (BROWN),3", 0.24 
CKBR0616,LAKSHMI ARCH (RED),6.5", 1.12 
CKBR0617,STANDING SAIBABA (RED),9.5", 1.64 
CKBR0618,SITTING GANESH (RED),8.5", 4.66 
CKBR0619,LAKSHMI,8", 1.78 
CKBR0620,STANDING BUDDHA (BROWN),7", 1.08 
CKBR0621,D.SHIVAN,6", 0.9 
CKBR0625,GANESHA,6.5", 1.66 
CKBR0626,PANCHAMUKHI HANUMAN,7", 1.56 
CKBR0631,BUDDHA BUST,7.5", 1.44 
CKBR0634,MURUGAN SHEET WORK (24CT GOLD PLATING),9", 0.66 
CKBR0635,GANESHA SITTING ON ANNAM,3.5", 0.68 
CKBR0636,GANESHA SITTING ON PEACOCK,5.5", 1.6 
CKBR0639,BUDDHA (S.W),8", 2.2 
CKBR0640,FROG FLYING WITH BOOK,6", 1.06 
CKBR0642,LAKSHMI (S.W),8", 1.98 
CKBR0643,GANESHA WITH ARCH,6", 1.1 
CKBR0644,BUDDHA (BROWN),8", 1.98 
CKBR0647,LEAF GANESHA,9", 1.16 
CKBR0649,ONE SIDE GANESHA MASK (RED),8", 1.54 
CKBR0650,BUDDHA FACE,6", 1.1 
CKBR0652,TARA (RED),5.5", 1.22 
CKBR0653,MODERN BUFFALO (RED),7", 2.28 
CKBR0656,LEAF GANESHA (GREEN),5", 0.3 
CKBR0657,STAR GANESHA WALL HANGING,7", 0.6 
CKBR0659,GANESHA,5.5", 1.06 
CKBR0665,ELEPHANT ,5.5", 2.04 
CKBR0668,GANESHA ,7", 1.96 
CKBR0669,LADY HANGER,8.5", 0.62 
CKBR0670,MAN HANGER (BLACK),6", 0.66 
CKBR0671,CAT,5", 0.92 
CKBR0673,ELEPHANT,5.5", 2.04 
CKBR0674,KAMADHENU,5", 0.88 
CKBR0676,MODERN GANESHA,4.5", 1.22 
CKBR0679,MODERN ART (RED),7.5", 0.98 
CKBR0681,FOUR MONKEY,4", 1.64 
CKBR0682,CAT (BLACK),3", 1.3 
CKBR0684,MODERN MAN,6", 0.82 
CKBR0687,FROG STANDING,6", 0.86 
CKBR0694,ROUND CHOWKI,4", 0.93 
CKBR0698,PARROT LAMP WITH CHAIN,27.5", 1.48 
CKBR0699,BIG LOCK (BLACK),11", 2.7 
CKBR0700,MODERN KEY STAND,12", 2.28 
CKBR0701,LAKSHMI LAMP CHAIN WITH BELL,10", 0.8 
CKBR0703,GANESHA MASK,8.5", 0.56 
CKBR0705,JESUS (RED),11", 0.84 
CKBR0708,MUSIC MAN (GREEN),8", 0.62 
CKBR0709,PEACOCK DOOR HANDLE,8", 0.4 
CKBR0712,5 FACE HAND DEEPAM,9", 0.48 
CKBR0713,PEACOCK DOOR HANDLE,10", 0.5 
CKBR0715,GANESH MASK HANGER,8.5", 0.55 
CKBR0716,LAKSHMI LAMP HANGER,10", 1.12 
CKBR0720,SWASTHIK GANESHA (GREEN),7", 1 
CKBR0721,ELEPHANT HANGER,9", 0.6 
CKBR0722,MUSIC MAN,8", 0.6 
CKBR0723,MODERN MAN,6", 0.8 
CKBR0724,TARA (RED),6", 1.2 
CKBR0725,D.GANESH 8 FACE HANGING LAMP,27", 2.75 
CKBR0726,POOJA MANDAPAM,10.5", 2.54 
CKBR0727,MODERN ART WALL HANGER,7", 0.5 
CKBR0729,GANESH WALL HANGING,9", 1.38 
CKBR0734,YALI,4", 0.8 
CKBR0735,KERALA HANGING LAMP WITH CHAIN,40", 1.3 
CKBR0736,GAJALAKSHMI PLATE WORK,12", 3.56 
CKBR0737,SARASWATHI WALL HANGING,15", 3.14 
CKBR0739,LEAF GANESH LAKSHMI HANGING,7.5", 0.7 
CKBR0740,SUN MOON WALL HANGER,8", 0.7 
CKBR0741,OVAL GANESH WALL HANGER,8", 1 
CKBR0742,D.GANESH ELEPHANT LAMP,16", 1.76 
CKBR0743,LEAF GANESH (BROWN),8.5", 1.16 
CKBR0744,ROUND LOCK,3", 0.36 
CKBR0745,TARA FACE MASK,11.5", 1.66 
CKBR0746,GANESH WALL HANGING,9", 2.36 
CKBR0747,GANESH FRAME WALL HANGING,8", 1.12 
CKBR0748,BELL WITH CHAIN,24.5", 2.95 
CKBR0749,BUDDHA BUST,7.5", 1.4 
CKBR0750,GANESH WITH ARCH SHEET WORK,9", 0.22 
CKBR0755,SHIVAN 6 FACE LAMP,11", 2.6 
CKBR0758,ANIMAL DOOR HANDLE,9", 0.8 
CKBR0760,SLEEPING BUDDHA,3", 0.85 
CKBR0763,TREE GANESHA,6.5", 0.9 
CKBR0764,JOKER (GREEN),8", 2.09 
CKBR0765,RAT WITH LADDU,8", 2.8 
CKBR0766,ELEPHANT,5", 2.75 
CKBR0770,ELEPHANT (RED),9", 4 
CKBR0774,SITTING BUDDHA,7", 1.45 
CKBR0775,HAND,5", 0.5 
CKBR0778,GANESH SHEET FRAME,6", 0.16 
CKBR0779,FISH DOOR HANDLE,6", 0.16 
CKBR0780,GANESH WALL HANGING,7", 2 
CKBR0784,WOMAN FACE DOOR KNOCK,9.5", 0.68 
CKBR0787,D.GANESH ELEPHANT LAMP,16", 1.75 
CKBR0788,LAKSHMI SHEET WORK (24CT GOLD PLATING),8", 0.44 
CKBR0789,SARASWATHI SHEET WORK (24CT GOLD PLATING),8", 0.44 
CKBR0790,PARROT SQAURE TABLE,6", 6.45 
CKBR0794,CRANE (BLACK),30", 4.7 
CKBR0795,MODERN LADY,11", 2 
CKBR0798,UNJAL GANESH LAKSHMI,10", 2.6 
CKBR0799,BUDDHA (RED),13.5", 7.2 
CKBR0801,MUSIC MAN,17.5", 2.9 
CKBR0802,MUSIC MAN,17", 3.45 
CKBR0803,MUSIC MAN,18", 3.22 
CKBR0804,BUDDHA,10.5", 2.75 
CKBR0806,MODERN CAT,17", 3.7 
CKBR0807,MODERN CAT,17", 3.7 
CKBR0810,SITTING GANESH LAKSHMI,7", 1.54 
CKBR0814,EAGLE STAND,9", 1.2 
CKBR0815,DHANA LAKSHMI SITTING,12", 7.2 
CKBR0816,BUDDHA (S.W),10", 3.5 
CKBR0817,MODERN LADY,9", 1.4 
CKBR0818,ELEPHANT,9", 2.9 
CKBR0819,FISH ,23", 8.2 
CKBR0822,TIRUPATHI BALAJI,14", 2.6 
