ITEM CODE,PARTICULARS,SIZE,Weight
CKBR1378,DANCING LADY,11.5", 2.61 
CKBR1383,ANCIENT MUSIC LADY ,13", 1 
CKBR1384,ANCIENT MUSIC LADY ,13", 1.15 
CKBR1385,ANCIENT MUSIC LADY ,14", 0.95 
CKBR1389,LION (GREEN),7.5", 4.25 
CKBR1396,VISHRI GANESH WALL HANGING ,10", 2.6 
CKBR1397,VISHRI GANESH WALL HANGING (GREEN),9.5", 2.6 
CKBR1403,STANDING SARASWATHI,20", 9.25 
CKBR1404,PAVAIVILLAKU (MULTIPLE HANDS),27", 16.6 
CKBR1406,DASHAVATARAM WALL HANGING (GREEN) SET,30.5", 4.93 
CKBR1407,JALI STOOL,15.5", 17.06 
CKBR1408,NANDHI ,11", 9.45 
CKBR1409,COW WITH CALF (BLUE),5", 1.9 
CKBR1416,PUPPY GANESH (PINK),4", 0.8 
CKBR1418,TWIN GANESHA HUGGING (GREEN),7.5", 1.85 
CKBR1424,SANGU FLUTE KRISHNA (BLACK),8", 1.8 
CKBR1425,LAKSHMI SITTING,6", 1.3 
CKBR1426,SARASWATHI (GREEN),5.5", 0.85 
CKBR1427,BURMA (YELOW),5.5", 1.1 
CKBR1430,ELEPHANT PEN STAND (GREEN & GOLD),6", 1.85 
CKBR1432,ASTHALAKSHMI LAMP ,5.5", 0.6 
CKBR1434,LAKSHMI NARSHIMAR,5", 1 
CKBR1435,KAMADHENU (GREEN),5", 0.9 
CKBR1436,MODERN LASY (GREEN),10", 1.2 
CKBR1440,MODERN ART (GREEN),6", 0.91 
CKBR1442,COW WITH CALF (BROWN),2.5", 0.6 
CKBR1452,RAT (GREEN & GOLD),5", 1.5 
CKBR1455,HAPPY MAN (STONE FINISH),4.5", 1.25 
CKBR1456,HAPPY MAN (BROWN),3.5", 0.97 
CKBR1457,TWIN HAPPY MAN,2.5", 0.61 
CKBR1458,HAPPY MAN,2.5", 0.31 
CKBR1459,MAN WALL HOOK,6", 0.3 
CKBR1460,PARROT DOOR HANDLE (GREEN),8", 0.35 
CKBR1461,PARROT DOOR HANDLE (GREEN),8", 0.35 
CKBR1469,MONEY (GREEN),2.5", 0.13 
CKBR1470,MONEY (BROWN),2.5", 0.13 
CKBR1482,DHOKRA MUSIC LADY SET,3.5", 0.45 
CKBR1485,PEN STAND DHOKRA,4", 0.55 
CKBR1501,LOTUS AGAL LAMP ON STAND,2", 0.6 
CKBR1502,LOTUS AGAL LAMP ON STAND,2", 0.6 
CKBR1503,ASTHALAKSHMI LAMP ,7.5", 0.9 
CKBR1509,GANESH WALL HANGING FRAME,4", 0.31 
CKBR1513,BALAJI FACE WALL HANGING,6", 0.5 
CKBR1518,SAIBABA (GREEN),4", 0.7 
CKBR1520,CRAWLING BABY KRISHNA,5", 0.6 
CKBR1521,CRAWLING BABY KRISHNA,3.5", 0.3 
CKBR1530,BROWN GANESHA SEATED,12", 10 
CKBR1531,GANESHA ON LOTUS BASE,12", 7.7 
CKBR1536,GANESHA SEATED (BROWN),6.5", 1.8 
CKBR1546,SQUARE CHOWKI,2", 2.7 
CKBR1548,SQUARE CHOWKI,2", 2 
CKBR1552,URLI WITH BELL,3", 1 
CKBR1557,PARROT URLI (BROWN),8", 1.45 
CKBR1559,ELEPHANT URLI,10.5", 3 
CKBR1570,TREE AGAL LAMP,6", 1 
CKBR1574,ANNAM LAMP,4.5", 0.9 
CKBR1579,LOTUS DOOP DHANI,2.5", 0.75 
CKBR1580,LOTUS DOOP DHANI,2.5", 0.75 
CKBR1595,PARROT LAMP HANGING 7 FACE,25", 2.35 
CKBR1596,PARROT LAMP HANGING 7 FACE,25", 2.2 
CKBR1597,ANNAM LAMP HANGING 7 FACE,29", 2.3 
CKBR1598,ANNAM LAMP HANGING 7 FACE,26", 2.57 
CKBR1601,PARROT LAMP HANGING 6 FACE,28.5", 3.2 
CKBR1602,ANNAM KUTTUVILLAKU 5 FACE,9", 1.3 
CKBR1603,ANNAM KUTTUVILLAKU 5 FACE,9", 1.3 
CKBR1604,SHUBH LABH WITH GANESH HANGING,16", 1.6 
CKBR1626,PARROT LAMP WITH HANGING DIYA,8", 0.75 
CKBR1627,ROUND SWASTHIK LAMP,1", 0.165 
CKBR1631,STAR LAMP,1", 0.13 
CKBR1632,STAR LAMP,1", 0.13 
CKBR1634,SANGU LAMP,1", 0.17 
CKBR1635,AGAL LAMP,1", 0.13 
CKBR1636,AGAL LAMP,1", 0.13 
CKBR1644,LEAF TREE FITTING ,7.5", 0.45 
CKBR1647,BUTTERFLY TREE FITTING,2", 0.025 
CKBR1648,BUTTERFLY TREE FITTING,2", 0.025 
CKBR1654,MANDAP,19", 9 
CKBR1657,JHULA CHAIN PLAIN (SET OF 4),74", 14.5 
CKBR1658,GANESHA HALLOW BODY,8", 2.2 
CKBR1664,PARROT LAMP 7 FACE,26", 1.5 
CKBR1665,PARROT LAMP 7 FACE,26", 1.5 
CKBR1673,LAKSHMI FINE (STONE),7.5", 1.9 
CKBR1674,GANESH (MARBLE STONE FINISH),7", 2.1 
CKBR1675,BUDDHA (MARBLE STONE FINISH),7.5", 1.75 
CKBR1676,ELEPHANT FAMILY (MARBLE STONE FINISH),4", 1.35 
CKBR1678,MODERN ART LADY (GREEN),8", 0.5 
CKBR1680,MODERN ART FLUTE LADY (GREEN),10.5", 0.9 
CKBR1681,MODERN ART FLUTE MAN (GREEN),10.5", 0.76 
CKBR1682,MODERN ART VIOLIEN MAN IN CHAIR,8", 0.9 
CKBR1683,MODERN ART PEPE MAN IN CHAIR,8.5", 0.95 
CKBR1684,MODERN ART FLUTE MAN IN CHAIR,8", 0.8 
CKBR1685,GANESHA IN SHELL (BLUE),5.5", 2.3 
CKBR1686,LAKSHMI ,6.5", 1.5 
CKBR1704,ARCH GANESH (BROWN),7.5", 1.65 
CKBR1705,GANESH WITH 6 HANDS (BROWN),6.5", 1.6 
CKBR1706,GANESH WALL HANGING WITH BELL (BROWN),9.5", 1.1 
CKBR1710,ARCH LAKSHMI (BROWN),7.5", 1.6 
CKBR1711,LOTUS LAKSHMI (BROWN),7.5", 3.5 
CKBR1712,KRISHNA WITH COW (BROWN),7", 1.25 
CKBR1713,RADHA KRISHNA (BROWN),12.5", 5.35 
CKBR1716,PARVATHI (BROWN),11.5", 2.3 
CKBR1723,NANDHI (BROWN),7", 3.2 
CKBR1724,PEACOCK (BROWN),7", 2.65 
CKBR1725,PEACOCK (BROWN),8.5", 1.6 
CKBR1726,PARROT LAMP (BROWN),8", 2.25 
CKBR1732,GANESH LAKSHMI WALL HANGING,11.5", 0.55 
CKBR1735,SARASWATHI WITH BELL,8", 2.1 
CKBR1739,COW KRISHNA,9.5", 2.85 
CKBR1742,MAHABARATH VISHVAROOP,11", 5.55 
CKBR1748,PARVATHI,11.5", 2.3 
CKBR1749,HAND BUDDHA,6", 1.1 
CKBR1759,GANESH APPU (RED),6.5", 2.5 
CKBR1762,SARASWATHI SITTING ON LOTUS (BROWN & GOLD),9.5", 3.3 
CKBR1782,COW KRISHNA ,10.5", 2.7 
CKBR1783,ANNAM LAMP 5 FACE,13", 3.3 
CKBR1784,ANNAM LAMP 5 FACE,13", 3.3 
CKBR1785,PEACOCK LAMP 8+5 FACE,10.5", 2.75 
CKBR1786,PEACOCK LAMP 8+5 FACE,10.5", 2.84 
CKBR1788,LAXMI ON LOTUS ,14", 7.5 
CKBR1789,SARASWATI ON LOTUS ,14", 7.8 
CKBR1794,GANESHA LAMP (BROWN),8", 2.85 
CKBR1800,PAVAIVILLAKU,10", 1.65 
CKBR1801,PAVAIVILLAKU,10", 1.65 
CKBR1811,FANCY URLI,4.5", 1.8 
CKBR1817,DURGA MAA,8.5", 2.91 
CKBR1818,SARASWATHI (BROWN),10", 3.7 
CKBR1819,WELCOME LADY (BROWN),14", 4.34 
CKBR1821,SARASWATHI FINE,7.5", 2 
CKBR1824,RADHA KRISHNA (BROWN),17", 10 
CKBR1825,KRISHNA ON COW (BROWN),13.5", 4 
CKBR1826,PERUMAL SET,9.5", 2.4 
CKBR1833,RADHA KRISHNA JHULA (BROWN),17.5", 6.9 
CKBR1838,SARASWATHI (BROWN),24", 30.2 
CKBR1842,STANDING GANESH (BROWN),7", 1.1 
CKBR1848,MUSIC GANESH ON STAND (GREEN),3.5", 1.65 
CKBR1853,GANESH & LAKSHMI ON STAND,5.5", 1.85 
CKBR1856,GAJALAKSHMI WITH ELEPHANT,5.5", 1.6 
CKBR1860,KRISHNA WITH COW,6.5", 1.45 
CKBR1861,BABY KRISHNA (BROWN),5.5", 1.2 
CKBR1862,GEETHA UPADESHAM WALL HANGING,6.5", 1 
CKBR1864,ANNAM LAMP 9 FACE,20", 1.1 
CKBR1865,ANNAM LAMP 9 FACE,20", 1.1 
CKBR1870,PEACOCK LAMP 1 FACE,6", 0.95 
CKBR1871,PEACOCK LAMP 1 FACE,6", 0.95 
CKBR1878,LOTUS FANCY LAMP,2.5", 0.4 
CKBR1879,LOTUS FANCY LAMP,2.5", 0.4 
CKBR1890,ANNAM LAMP WITH CHAIN 4 FACE,23", 0.9 
CKBR1897,BUDDHA MASK ,7.5", 1 
CKBR1898,SAI BABA WITH UMBRELLA,7.5", 1.4 
CKBR1901,RAM DHARBAR (4 PC),6.5", 2 
CKBR1906,LOCK,3", 0.35 
CKBR1913,ELEPHANT ENGRAVED,3", 0.5 
CKBR1916,TRIBAL MAN (GREEN),4", 0.45 
CKBR1917,MANJEERA,3", 0.3 
CKBR1927,GANESHA SPL,3", 0.5 
CKBR1935,HANUMAN FINE ,7.5", 2.3 
CKBR1938,LAKSHMI BLESSING SMALL,2.5", 0.3 
CKBR1941,ANDAL,6.5", 0.8 
CKBR1944,RADHA KRISHNA JHULA (GREEN),6.5", 1.3 
CKBR1945,KRISHNA WITH COW,9", 2.9 
CKBR1946,BUDDHA,6", 1.1 
CKBR1952,NANDHI (BROWN),4.5", 1 
CKBR1954,NANDHI ,5", 1.8 
CKBR1955,LADY WITH POT,16", 4.6 
CKBR1961,MAN FACE BOX,3.5", 1.4 
CKBR1962,ANCIENT LONG MAN,17", 0.75 
CKBR1963,READING GIRL,2.5", 0.2 
CKBR1964,CHOWKI,2", 1.65 
CKBR1966,DHOKRA PEN STAND,4", 0.6 
CKBR1970,SUN MASK OPENER,5", 0.1 
CKBR1971,PEACOCK DOOR HANDLE,9", 0.5 
CKBR1975,ANNAM 5+1 FACE LAMP,6", 0.65 
CKBR1986,NANDHI (GREEN),4", 1.35 
CKBR1987,NANDHI (GREEN),5", 2.45 
CKBR1990,COW WITH CALF (BROWN),5.5", 2.8 
CKBR1991,GANESHA WITH ARCH,17", 10.6 
CKBR1993,GANESH ARCH (NEPALI FINISH),8.5", 2.55 
CKBR1995,GANESHA IN SWAN BOAT (BROWN),5.5", 3.2 
CKBR1996,GANESHA URLI,13", 3.7 
CKBR1997,KAMADHENU SPL,10", 4.75 
CKBRA004,NANDHI (BROWN),5.5", 2.65 
CKBRA005,LAKSHMI SITTING (STONE WORK),9.5", 3.35 
CKBRA006,GAJALAKSHMI WITH ELEPHANT SPL,7.5", 3.85 
CKBRA009,PARVATHI BUST (BROWN),10.5", 3.5 
CKBRA011,TIRUPATHI BALAJI SPL,17", 7.4 
CKBRA014,NATARAJA,16", 5.73 
CKBRA016,VISHNU SPL,11", 2.2 
CKBRA017,MURUGAN SPL,11", 2.44 
CKBRA018,KALINGA KRISHNA,13.5", 2.4 
CKBRA019,KRISHNA WITH COW,16.5", 9.3 
CKBRA020,TREE KRISHNA (BROWN),14.5", 4.7 
CKBRA023,RADHA,24", 12.12 
CKBRA024,SHIVA FAMILY SPL,13", 7.9 
CKBRA026,BUDDHA (AQUA GREEN STONE FINISH),10", 3.5 
CKBRA027,BUDDHA (BROWN WOOD FINISH),10", 3.8 
CKBRA028,BUDDHA ON LOTUS (GREEN),11.5", 4.4 
CKBRA029,LOTUS FLOWER URLI SPL,14", 4.9 
CKBRA034,COUPLE WITH HEART (GREEN&GOLD),15", 3.3 
CKBRA039,BUDDHA (STONE WORK),6.5", 1.1 
CKBRA044,GL OM DOOR HANGIG 3 STEP WITH BELL,16", 0.9 
CKBRA049,SLEEPING GANESH (BLUE FINISH),2.5", 0.5 
CKBRA052,UNJAL GANESH (BROWN),10", 1.55 
CKBRA055,LAKSHMI IN HAND (BROWN),7", 1.3 
CKBRA056,GANESH IN HAND (BROWN),7", 1.1 
CKBRA058,TREE LAMP,6.5", 1.25 
CKBRA059,TREE LAMP,6.5", 1.25 
CKBRA060,FANCY LAMP,8.5", 1 
CKBRA061,FANCY LAMP,8.5", 1 
CKBRA064,SKELETON COUPLE (GREEN),7", 1.15 
CKBRA065,VARAGI AMMAN ,6.5", 2 
CKBRA068,PUPPY GANESH (BLUE FINISH),4", 0.8 
CKBRA070,AYYAPAN,8.5", 2.8 
CKBRA071,GANESHA URLI WITH LAMP (BROWN),11", 2.5 
CKBRA072,TREE LAMP (BROWN),6.5", 1.25 
CKBRA073,TREE LAMP (BROWN),6.5", 1.25 
CKBRA075,URLI WITH BELL (BROWN),9", 1.4 
CKBRA077,LEAF LAMP SPL,2.5", 0.45 
CKBRA078,LEAF LAMP SPL,2.5", 0.45 
CKBRA079,SANGU CHAKARAM WALL HANGING LAMP SPL,11", 1.3 
CKBRA080,LAKSHMI W/O BASE,7.5", 2 
CKBRA083,GANESH BELL (BROWN),28.5", 2.1 
CKBRA088,GANESHA WITH BELL ARCH,8", 2.25 
CKBRA089,GANESHA LAMP WITH BELL (BROWN),7.5", 2.1 
CKBRA092,GANESHA WALL HANGING,10", 1.3 
CKBRA095,PARROT UNJAL GANESHA (BROWN),8", 1.6 
CKBRA099,COW WITH CALF (BROWN),3.5", 0.95 
CKBRA104,NANDHI (BROWN),4", 1.05 
CKBRA105,VISHNU STANDING,8", 1.4 
CKBRA107,5 FACE SHIVAN WITH PARVATI,6.5", 1.65 
CKBRA108,ADIYOGI,4.5", 1 
CKBRA109,BUDDHA BUST (BROWN),7", 1.5 
CKBRA111,HANUMAN STANDING WITH PARVAT,4", 0.4 
CKBRA113,RAJARAJESHWARI WITH ARCH,6", 1 
CKBRA120,TREE LAMP ,6", 0.95 
CKBRA122,LION LOCK,5", 0.75 
CKBRA123,BUDDHA LOCK,6", 0.55 
CKBRA124,ELEPHANT DHOOP DHANI,10.5", 3.5 
CKBRA129,GAJALAKSHMI WALL HANGING LAMP,27", 0.95 
CKBRA132,DASAVATARAM PLATE,4", 2.1 
CKBRA137,GANESH DANCING ON ELEPHANT TRUNK,15", 1.65 
CKBRA144,VARAGA PERUMAL WITH LAKSHMI (BROWN),8.5", 2.1 
CKBRA147,RESTING GANESH SPL,3.5", 0.95 
CKBRA148,RESTING BUDDHA SPL,4.5", 0.66 
CKBRA149,PERUMAL SET SMALL SPL,5.5", 0.5 
CKBRA150,DAKSHINAMOORTY (BROWN) SPL,6.5", 0.9 
CKBRA152,NANDHI W/O BASE (BROWN),6", 2.5 
CKBRA163,SARASWATHI ON LOTUS BASE (GREEN),10.5", 4.5 
CKBRA171,NATARAJA OVAL BASE (BROWN),11.5", 3.1 
CKBRA173,SARASWATI DANCING (BROWN),11.5", 2.52 
CKBRA174,NANDHI (GREEN),5.5", 2.35 
CKBRA175,GANESHA LAMP MULTI FACES,12", 4.3 
CKBRA176,ANNAM LAMP MULTI FACES,12.5", 4.65 
CKBRA179,PEACOCK BOX,5", 2 
CKBRA181,PARROT WITH LAMP WALL HANGING,10", 2.15 
CKBRA182,PARROT WITH LAMP WALL HANGING,10", 2.15 
CKBRA187,ELEPHANT TRUCK DOWN (NEPALI FINISH),4", 1.5 
CKBRA188,ELEPHANT TRUCK DOWN (NEPALI FINISH),4", 1.5 
CKBRA194,NATARAJA SINGLE ARCH OVAL (BROWN),29.5", 22 
CKBRA198,GANESHA BLESSING,13", 10 
CKBRA200,GANESHA ON ELEPHANT SAFARI,9", 3.15 
CKBRA201,MODERN GANESH (STONE WORK),8", 2 
CKBRA206,JALI STOOL,21", 19.8 
CKBRA210,FANCY STANDING LAMP,20", 2.9 
CKBRA211,FANCY STANDING LAMP,20", 2.9 
CKBRA212,ANNAM FANCY STANDING LAMP,27.5", 4.65 
CKBRA213,ANNAM FANCY STANDING LAMP,27.5", 4.65 
CKBRA214,PARROT FANCY STANDING LAMP,24", 5.05 
CKBRA215,PARROT FANCY STANDING LAMP,24", 5.05 
CKBRA225,CHOWKI,3", 1.35 
CKBRA227,GANESHA URLI,12", 3.5 
CKBRA228,NAMMA SANGU CHAKARAM URLI,10", 2.95 
CKBRA234,STANDING URLI WITH BELL (BROWN),18.5", 6.85 
CKBRA235,STANDING URLI WITH BELL,15", 3.9 
CKBRA237,RADHA KRISHNA UNJAL (BROWN),21", 12.45 
CKBRA243,SARASWATHI FINE,19", 15.4 
CKBRA246,VENUGOPAL,41", 48 
CKBRA247,DANCING SARASWATHI WITH ARCH,32", 28.9 
CKBRA248,BUDDHA,23", 16 
CKBRA250,LAKSHMI ON LOTUS BASE (BROWN),9.5", 3.25 
CKBRA251,BUDDHA (BROWN),12.5", 4.5 
CKBRA252,SARASWATHI,10", 4.55 
CKBRA253,LAKSHMI,10", 4.44 
CKBRA254,URLI WITH BELL STANDING,12", 9 
CKBRA271,ELEPHANT TABLE,15.5", 14.2 
CKBRA273,KERALA LAMP,13", 0.9 
CKBRA274,KERALA LAMP,13", 0.9 
CKBRA276,ELEPHANT CHOWKI (BROWN),4", 2.6 
CKBRA277,URLI WITH FOUR LAMP,5", 3.05 
CKBRA278,URLI WITH FOUR LAMP (BROWN),5", 3.05 
CKBRA280,PARROT 2 FACE LAMP,6.5", 0.85 
CKBRA281,PARROT 2 FACE LAMP,6.5", 0.85 
CKBRA286,LAMP WITH BELL,7.5", 0.78 
CKBRA287,LAMP WITH BELL,7.5", 0.76 
CKBRA300,NAMMA SANGU CHAKARAM PLATE (BROWN),5", 1.75 
CKBRA305,DASAVATARAM SMALL,3", 1.25 
CKBRA306,KRISHNA SPL FINE (BLACK & GOLD),42", 75.5 
CKBRA308,GANESH ARCH WITH LOTUS BASE (BROWN),9.5", 3.35 
CKBRA311,SIVALINGAM GANESH (STONE FINISH),6.5", 1.8 
CKBRA312,WRITING GANESH  (M.C),4.5", 0.9 
CKBRA326,RESTING BUDDHA (BLACK),8", 2.5 
CKBRA332,COW WITH CALF (GREEN),3.5", 1 
CKBRA335,COW WITH CALF (BROWN),2.5", 0.35 
CKBRA336,COW WITH CALF (STONE WORK),3", 0.55 
CKBRA343,BUDDHA WALL HANGING,4", 0.2 
CKBRA344,ELEPHANTH 5 FACE LAMP (GREEN),4.5", 1.1 
CKBRA356,ELEPHANT TRUNK UP (STONE),4.5", 1.1 
CKBRA357,ELEPHANT TRUNK UP (STONE),4.5", 1.1 
CKBRA358,RAHDA KRISHNA JHULA (BROWN),11", 3.25 
CKBRA359,FLUTE KRISHNA (STONE),7", 0.7 
CKBRA368,TIRUPATHI BALAJI,3.5", 0.25 
CKBRA377,LAKSHMI WALL HANGING WITH BELL,6.5", 0.25 
CKBRA380,HORSE CART,3.5", 0.53 
CKBRA384,DOG (BLACK),7", 1.3 
CKBRA387,HORSE (STONE),4.5", 0.45 
CKBRA389,ANIMAL,2.5", 0.23 
CKBRA397,GUITAR (GREEN),5", 0.45 
CKBRA398,AUTO (GREEN),3", 0.5 
CKBRA409,LEAF LAMP,1", 0.12 
CKBRA410,LEAF LAMP,1", 0.12 
CKBRA412,MUSIC SET (4PCS) (STONE FINISH),4", 1.85 
CKBRA416,MUSIC SET (2PCS) (STONE FINISH),6.5", 3.2 
CKBRA429,DAKSHINAMOORTY,7", 2 
CKBRA430,DAKSHINAMOORTY,8.5", 2.9 
CKBRA431,DANCING ARTHANARESWAR (BROWN),12", 3.3 
CKBRA432,STANDING ARTHANARESWAR (BROWN),11", 2.85 
CKBRA446,RANGANATHAR,3.5", 0.65 
CKBRA447,LAKSHMI ARCH,3.5", 0.27 
CKBRA450,BUDDHA WALL HANGING (GREEN),7", 1.1 
CKBRA451,BUDDHA ON LEAF WALL HANGING,7.5", 0.8 
CKBRA455,TREE WALL HANGING,9.5", 1.3 
CKBRA459,URLI WITH BELL,7", 1.4 
CKBRA463,MAN LONG MASK,9", 0.58 
CKBRA464,WOMEN LONG MASK,9", 0.58 
CKBRA471,GANESH LAMP WALL HANING,10", 0.85 
CKBRA474,PEACOCK HANGING LAMP,9.5", 0.47 
CKBRA475,PEACOCK HANGING LAMP,9.5", 0.47 
CKBRA476,PEACOCK HAND LAMP 5 FACE,5", 1 
CKBRA478,PEACOCK SAMBARANI,5", 1.2 
CKBRA484,PEACOCK LAMP SPL,4", 0.6 
CKBRA496,KALINGA GANESH (RED),19", 9 
CKBRA499,GANESHA BLESSING (GREEN),6.5", 2.55 
CKBRA501,JALI STOOL,21", 30.8 
CKBRA503,KRISHNA FLUTE (BROWN),11", 2.52 
CKBRA504,SHIVAN ,8", 2.44 
CKBRA509,VISHNU ON SESH NAGA,28.5", 27.5 
CKBRA512,PARVATHI BUST (COPPER & GOLD),12", 5 
CKBRA516,LAKSHMI (COPPER & GOLD),18.5", 8.96 
CKBRA521,BUDDHA FACE ON WOOD STAND SPL4800SS,10.5", 0.8 
CKBRA522,PILLAR STAND (BROWN & GOLD),27.5", 24.2 
CKBRA523,GANESH ON UNJAL,9.5", 1.7 
CKBRA526,GANESH BELL,28", 1 
CKBRA535,GANESH MASK WTH BELL,8", 1.75 
CKBRA536,GANESH MASK WITH BELL (GREEN),9.5", 1.45 
CKBRA537,GANESH PLATE,8", 1.2 
CKBRA540,PEACOCK LAMP,11", 2.47 
CKBRA541,PEACOCK LAMP,11", 2.55 
CKBRA546,KUTTUVILLAKU ,11.5", 2 
CKBRA557,LOTUS DOOP DHANI,2", 0.6 
CKBRA558,LOTUS DOOP DHANI,2", 0.6 
CKBRA563,ANNAM HANGING LAMP ,15.5", 0.25 
CKBRA564,ANNAM HANGING LAMP ,15.5", 0.25 
CKBRA567,SHEEL TYPE LAMP,1.5", 0.3 
CKBRA568,SHEEL TYPE LAMP,1.5", 0.3 
CKBRA574,RECTANGLE CHOWKI (BROWN),2", 1.6 
CKBRA576,SQUARE CHOWKI,2", 1 
CKBRA581,BUDDHA (STONE FINISH),5", 0.8 
CKBRA590,BALAJI WALL HANGING (YELLOW STONE FINISH),9", 1.5 
CKBRA595,MODERN FLOWER STAND ,9", 1.55 
CKBRA599,KAMADHENU,4", 0.45 
CKBRA600,NANDHI (GREEN),4.5", 1.3 
CKBRA601,KAMADHENU,7.5", 1.5 
CKBRA605,URLI WITH 4 LAMPS (BROWN),3", 1.35 
CKBRA606,URLI WITH 4 LAMPS,3", 1.4 
CKBRA609,HALLOW GANESH (GREEN),7.5", 1.6 
CKBRA610,GANESHA BLESSING (STONE FINISH),6", 1.55 
CKBRA611,BLESSING GANESHA (SUPER FINE),7.5", 2.25 
CKBRA613,GANESHA BLESSING (STONE FINISH),7", 1.75 
CKBRA621,SHIVA SITTING,7.5", 1.62 
CKBRA627,MODERN LADY WITH LONG HAIR (GREEN),15", 3.6 
CKBRA628,MODERN LADY WITH LONG HAIR (GREEN),15", 3.6 
CKBRA629,MAN RIDING HORSE (BROWN),10", 3.15 
CKBRA630,URLI WITH BELL,8.5", 1.25 
CKBRA631,SANGU CHAKARAM NAMMA LAMP WALL HANGING,5.5", 0.95 
CKBRA634,PARROT LAMP WITH HANGING DIYA (BROWN),13", 2.56 
CKBRA635,PARROT LAMP WITH HANGING DIYA (BROWN),13", 2.56 
CKBRA639,WALL HANGING LAMP,14", 0.85 
CKBRA640,WALL HANGING LAMP (BROWN),14", 0.85 
CKBRA643,ANNAM LAMP WITH STAND,9", 1.8 
CKBRA644,ANNAM LAMP WITH STAND,9", 1.8 
CKBRA647,LEAF LAMP,2.5", 0.45 
CKBRA648,LEAF LAMP,2.5", 0.45 
CKBRA650,ANNAM FANCY LAMP,11.5", 1.85 
CKBRA651,ANNAM FANCY LAMP,11.5", 1.85 
CKBRA654,LADY ON SNAKE (GREEN),9.5", 0.95 
CKBRA657,CAMEL LOCK (GREEN),4", 0.74 
CKBRA658,LOCK (GREEN),4.5", 0.4 
CKBRA662,URLI WITH MUTIPLE URLI,10", 14.1 
CKBRA663,GANESHA WITH ASHTAVINAKAYAR (COFFEE),17.5", 10.5 
CKBRA668,DANCING GANESH WALL HANGING LAMP WITH ARCH,27.5", 3.1 
CKBRA671,CROWN GANESH 11 FACE LAMP,11", 5.4 
CKBRA674,D.GANESH ON ELEPHANT LAMP,11", 1.32 
CKBRA702,RANGANATHAR FRAME SPL (COFFEE),25", 11.1 
CKBRA703,PARROT BRACKET,9", 0.7 
CKBRA706,LAKSHMI STANDING ,38.5", 33.5 
CKBRA707,ANNAM FANCY LAMP,36", 5.5 
CKBRA708,SANGU KUTTUVILLAKU,14.5", 2.4 
CKBRA709,CHAKARAM KUTTUVILLAKU,14.5", 2.35 
CKBRA710,ANNAM KUTTUVILLAKU SPL,21.5", 6.35 
CKBRA711,ANNAM KUTTUVILLAKU SPL,21.5", 6.35 
CKBRA712,ANNAM KUTTUVILLAKU WITH BELL 7 FACE,16.5", 2.65 
CKBRA713,ANNAM KUTTUVILLAKU WITH BELL 7 FACE,16.5", 2.65 
CKBRA714,PARROT HANGING LAMP,13", 2.05 
CKBRA715,PARROT HANGING LAMP,13", 2.05 
CKBRA718,ANNAM 8 FACE HANGING LAMP,29", 2.5 
CKBRA719,ANNAM LAMP WITH STAND,8.5", 1.45 
CKBRA720,ANNAM LAMP WITH STAND,8.5", 1.45 
CKBRA727,SOMERSALTING LADY WITH LAMP (COFFEE),28.5", 3.05 
CKBRA728,SOMERSALTING LADY WITH LAMP (COFFEE),28.5", 3.05 
CKBRA729,ASHOKA STAMBA,8", 1.2 
CKBRA735,KRISHNA FLUTE ORNAMENTAL,25", 12.2 
CKBRA736,LAKSHMI SITTING FINE,24.5", 20.25 
CKBRA737,TREE WITH BIRDS,19", 4.15 
CKBRA741,JALI CHOWKI WITH BELL,4.5", 11 
CKBRA742,URLI STAND WITH BELL,12", 4.65 
CKBRA743,ROUND CHOWKI,5", 5.25 
CKBRA744,OCTOGEN CHOWKI,5", 5.12 
CKBRA753,ASTHALAKSHMI WALL HANGING FRAME,14.5", 5.3 
CKBRA758,HANUMAN STANDING,13", 3.95 
CKBRA759,GANESH SITTING FINE,9.5", 4.2 
CKBRA760,LAKSHMI ON LOTUS,9", 4.1 
CKBRA761,FANCY GANESH,7.5", 4.25 
CKBRA762,VARAGIAMMAN FINE,6", 2.75 
CKBRA764,RANGANATHAR,6", 1.9 
CKBRA769,WALL BRACKET,9", 0.75 
CKBRA775,TREE WALL HANGING,13", 1.8 
CKBRA777,TRIBAL MASK BIG,10.5", 0.9 
CKBRA778,TRIBAL MASK SMALL,7", 0.45 
CKBRA779,PEACOCK MIRROR FRAME,8", 0.9 
CKBRA780,ROUND CHOWKI ,2.5", 2.5 
CKBRA781,ROUND CHOWKI WITH BELL,2.5", 2.7 
CKBRA782,TIRUPATHI BALAJI FRAME WITH SANG AND CHAKARAM,13", 4.2 
CKBRA783,FLOWER STAND SPL CK1850DE,9.5", 0.65 
CKBRA784,FRUIT DOUBLE BOWL SPL CK1850DE,6", 1.15 
CKBRA785,FRUIT SINGLE BOWL SPL CK1850DE,2.5", 0.6 
CKBRA786,BIRD WALL FITTING BIG,4", 0.2 
CKBRA787,BIRD WALL FITTING SMALL,3.5", 0.16 
CKBRA788,FLOWER WALL FITTING,7", 0.75 
CKBRA790,FRUIT BOWL BIG,4.5", 1.3 
CKBRA792,GANESH SINGLE AGAL,5", 0.5 
CKBRA793,GANESH TWO AGAL ,5", 0.5 
CKBRA802,FANCY 5 FACE LAMP,3.5", 0.5 
